"target","gene","avg_log2FC","pct.1","pct.2","p_val","p_val_bh","Naor_2018_significant_genes_avg_log2FC"
"MYR1","SBDS",0.762073471899806,0.997,0.991,7.32309676886669e-42,7.89083795243102e-40,NA
"MYR1","DNAJC9",-1.04958027559364,0.355,0.834,8.24194970335665e-42,8.83239757554793e-40,-2.55604980880592
"MYR1","EIF1",0.583842145955665,1,1,1.2419609878265e-41,1.32370092023182e-39,NA
"MYR1","HNRNPU",-0.830360678130346,0.949,1,1.27938084096679e-41,1.35621284714593e-39,NA
"MYR1","CYCS",-0.877653229492339,0.901,0.996,1.28869283799274e-41,1.35873952934815e-39,NA
"MYR1","DNAJA1",-0.784598404076742,0.994,1,1.42812589325042e-41,1.49769929906599e-39,NA
"MYR1","MCM3",-0.892230700096033,0.2,0.725,1.59308928109957e-41,1.66181244104488e-39,-1.83871909296694
"MYR1","UCK2",-1.00054130282718,0.462,0.921,1.73694106281151e-41,1.8022831313649e-39,-0.940015566228996
"MYR1","NFKBIA",-1.19223937428067,0.749,0.978,1.78109667858416e-41,1.83837299809021e-39,NA
"MYR1","H2AFV",-0.744244674951618,0.977,1,3.6330420833477e-41,3.7302402249493e-39,NA
"MYR1","AP2M1",0.787341631931816,1,0.961,7.29541426509398e-41,7.45158172670615e-39,NA
"MYR1","MSRB2",1.05472658637118,0.944,0.686,8.02491537371101e-41,8.15422877688324e-39,NA
"MYR1","SLC7A2",-1.05510207489617,0.02,0.476,8.43823475059613e-41,8.53001142752271e-39,NA
"MYR1","LOX",1.06735607242629,1,0.974,9.08277609804725e-41,9.13447805429767e-39,NA
"MYR1","HIST1H2AC",1.34202820141103,0.823,0.319,9.36290572556408e-41,9.36816041755292e-39,NA
"MYR1","SPHK1",-1.07777014076003,0.603,0.939,1.05716832462713e-40,1.05239228498795e-38,NA
"MYR1","BTG3",-1.07576575541394,0.806,0.974,1.39551052063529e-40,1.38218973839286e-38,-1.33799435083849
"MYR1","CHEK1",-1.07304401768108,0.259,0.773,2.08721179696735e-40,2.05690002765461e-38,-1.32636034120262
"MYR1","CD320",-0.912094324457586,0.859,0.987,2.11568940233677e-40,2.07453924346132e-38,NA
"MYR1","DGKH",-1.12224372374131,0.442,0.9,2.34346743260833e-40,2.28645471745682e-38,NA
"MYR1","PLAT",-1.23698672443766,0.287,0.795,3.69776344059822e-40,3.58994251651345e-38,NA
"MYR1","EMP3",-0.757925746432334,1,1,3.75187569973124e-40,3.62453371169602e-38,NA
"MYR1","MCM4",-0.769322294507603,0.11,0.629,4.89880905836967e-40,4.70934041390625e-38,-2.93782960737688
"MYR1","CFLAR",-1.02745851384208,0.676,0.943,5.00941395338895e-40,4.79217644097125e-38,NA
"MYR1","RABAC1",0.713797520456111,1,1,5.51560816814767e-40,5.25080542648272e-38,NA
"MYR1","EVL",-1.1262295280573,0.555,0.939,5.6330571316218e-40,5.336709343393e-38,NA
"MYR1","RBPJ",-0.89767459991329,0.949,1,7.92491708964934e-40,7.47190139639967e-38,NA
"MYR1","STXBP6",-1.3526713915156,0.189,0.707,8.39804471822543e-40,7.88009832388129e-38,-2.06413033741972
"MYR1","SERPINB6",0.895863120586132,0.997,0.965,1.05113734709655e-39,9.81612119710024e-38,NA
"MYR1","HAS2",-0.781334812209583,0.028,0.48,1.2853557222541e-39,1.19464981370262e-37,NA
"MYR1","RTN4",0.70882362847177,1,1,2.05595209115674e-39,1.90185266319221e-37,NA
"MYR1","NAP1L1",-0.59022367696329,1,1,2.45088720026658e-39,2.25654220114685e-37,NA
"MYR1","MCM7",-1.00149652781711,0.197,0.707,2.725424438819e-39,2.49758404998502e-37,-2.11020156095469
"MYR1","EGLN3",-0.945447920337934,0.056,0.533,2.8128472307475e-39,2.5638771895436e-37,NA
"MYR1","DNMT1",-0.967540620870529,0.437,0.895,2.82391246209483e-39,2.5638771895436e-37,-1.22996258422814
"MYR1","MANF",-1.04597332666272,0.907,1,3.52431476440242e-39,3.1850385642717e-37,NA
"MYR1","MAGED2",0.896282832539242,0.989,0.904,3.81524805769482e-39,3.4321481495162e-37,NA
"MYR1","TRAF3",-1.00478290015801,0.392,0.869,4.02975854791782e-39,3.60856597640257e-37,NA
"MYR1","DOCK10",-1.10806026080864,0.713,0.969,6.56917457071145e-39,5.85582193210101e-37,NA
"MYR1","PSMG1",-0.859365239866489,0.915,0.991,7.39979386623159e-39,6.56639626745103e-37,-1.8669492422567
"MYR1","EIF5B",-0.707358637926093,0.992,1,7.58808780126585e-39,6.70315269687498e-37,NA
"MYR1","SLIT2",-1.40520877002829,0.873,0.974,7.64734374810518e-39,6.7252044055646e-37,NA
"MYR1","GCSH",-0.792174044571048,0.932,0.996,1.47702930429631e-38,1.29312596814977e-36,-1.02974734339405
"MYR1","GCSH",-0.792174044571048,0.932,0.996,1.47702930429631e-38,1.29312596814977e-36,-1.02974734339405
"MYR1","PRKG1",1.0966250006805,0.992,0.908,2.04137401964306e-38,1.77926159552089e-36,NA
"MYR1","C1QTNF1",-1.09743415090563,0.268,0.755,2.70487768382548e-38,2.34713965741157e-36,NA
"MYR1","SNRPE",-0.706875759009141,0.983,1,3.24797739439486e-38,2.80599491988888e-36,NA
"MYR1","CDK4",-0.855478938257318,0.792,0.987,3.45024451688431e-38,2.9676642640622e-36,NA
"MYR1","ANKRD9",-0.982540001546964,0.332,0.812,3.48853755936006e-38,2.98749825662053e-36,-1.69946591112411
"MYR1","PHLDA1",-1.03383398867687,0.397,0.891,3.67886127324494e-38,3.1367890621568e-36,NA
"MYR1","HNRNPA1",-0.609654385475101,1,1,4.08082981498532e-38,3.46446551955312e-36,NA
"MYR1","MEOX1",-0.872262831616819,0.014,0.437,4.27384561672756e-38,3.61268906851915e-36,NA
"MYR1","SNAP25",-1.32322859103885,0.014,0.432,8.17085844556043e-38,6.87719763845003e-36,-1.9445048874083
"MYR1","EIF1B",0.82499575074455,1,0.974,8.42220435300379e-38,7.05845510969049e-36,NA
"MYR1","USP53",1.81383275835658,0.966,0.751,8.48094826848251e-38,7.07744155290258e-36,NA
"MYR1","INPP4B",1.53188792190327,0.82,0.336,8.54100353228524e-38,7.09735679117143e-36,NA
"MYR1","NUPR1",1.13150669473787,0.992,0.9,1.32346168340811e-37,1.09512266132137e-35,NA
"MYR1","SUB1",-0.50276973932169,1,1,1.38757024574922e-37,1.14334622224319e-35,NA
