"target","t2.stat","p.value","p.value.bh","n.cells","significance"
"215360",18.7212918267533,0.540944390233967,0.951779468228925,18,"Non-significant"
"236870",17.3343972086766,0.632006018135009,0.956155688841696,84,"Non-significant"
"285290",13.509802689909,0.854877833142117,0.986267717893663,90,"Non-significant"
"299780",26.6550484950533,0.145987138448342,0.727073199330959,25,"Non-significant"
"229500",20.0010718343784,0.458856297006821,0.951779468228925,59,"Non-significant"
"BRP1",20.4773732608825,0.429448674602485,0.951779468228925,71,"Non-significant"
"269920",22.203580428567,0.330557894600222,0.947008314013869,81,"Non-significant"
"248990",12.0498043999652,0.914617977613841,0.996946256166046,38,"Non-significant"
"297410",27.3019080692593,0.127668424251598,0.723634593016143,65,"Non-significant"
"CPC2",23.0072758915786,0.289401878071263,0.907507123828407,70,"Non-significant"
"277720",12.4372990953973,0.900508238675165,0.994474315754313,31,"Non-significant"
"GRA47_CST2",19.2617439430903,0.505843925512383,0.951779468228925,177,"Non-significant"
"318525",13.4480938346467,0.857756639680496,0.986267717893663,90,"Non-significant"
"MAF1B",22.0689170396419,0.337777107734054,0.947008314013869,203,"Non-significant"
"225860",19.7629180505076,0.47383242985158,0.951779468228925,39,"Non-significant"
"200360",17.3338776935006,0.632039981888663,0.956155688841696,76,"Non-significant"
"235130",15.6715215889616,0.737454803048531,0.986181594292539,37,"Non-significant"
"279420",17.7241944204053,0.606444546265642,0.956155688841696,60,"Non-significant"
"GRA32",16.9161783276479,0.659212277837104,0.965245866377397,46,"Non-significant"
"288000",15.8803119285672,0.724717159869526,0.984375179715827,55,"Non-significant"
"GRA37",19.8873656902696,0.46598572214933,0.951779468228925,26,"Non-significant"
"279350",23.1631895632903,0.281810771623633,0.894749199905035,58,"Non-significant"
"GRA40",27.3963921827345,0.1251550199719,0.723634593016143,129,"Non-significant"
"310740",15.1308358469183,0.769483988565023,0.986267717893663,47,"Non-significant"
"254080",25.3487754291191,0.189243872751476,0.8246281583902,18,"Non-significant"
"SRS42",20.8703023776836,0.405807687874602,0.951779468228925,22,"Non-significant"
"266435",8.09474467470304,0.991253798930119,0.999019044037624,28,"Non-significant"
"306890",18.8093689479596,0.53519272635165,0.951779468228925,32,"Non-significant"
"BPK1",33.4200768500982,0.0306013548418229,0.520739110988442,71,"Non-significant"
"GRA28",14.4574705669231,0.807097127225484,0.986267717893663,123,"Non-significant"
"259830",7.89734581964693,0.992552466727288,0.999019044037624,59,"Non-significant"
"258870",39.3532345673134,0.00610515448411519,0.387677309741315,73,"Non-significant"
"280480",11.0086178978438,0.946174761111174,0.999019044037624,8,"Non-significant"
"ROP35_WNG1",34.2854894371243,0.0244916085586659,0.518405714491763,30,"Non-significant"
"246178",18.7428378652256,0.53953644907579,0.951779468228925,29,"Non-significant"
"SFP1",31.7245065866531,0.0466934023624677,0.528486653050029,79,"Non-significant"
"MYR4",24.1873941065255,0.235208246237282,0.86068909565537,33,"Non-significant"
